"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Raltegravir|Concentration in container [µmol/l]","Organism|Lumen|Raltegravir|Fraction of oral drug mass absorbed into mucosa"
0,4860,0.100108,0.09768928,0.2119204
0,4875,0.09642477,0.09414704,0.2120063
0,4890,0.0930144,0.09086712,0.2120908
0,4905,0.08984885,0.08782241,0.212174
0,4920,0.08690325,0.08498885,0.212256
0,4935,0.08415559,0.08234515,0.2123367
0,4950,0.08158624,0.07987233,0.2124163
0,4965,0.07917774,0.0775535,0.2124948
0,4980,0.07691449,0.07537364,0.2125722
0,4995,0.07478262,0.07331935,0.2126486
0,5010,0.07276972,0.07137867,0.2127239
0,5025,0.07086471,0.06954094,0.2127982
0,5040,0.06905768,0.06779662,0.2128714
0,5055,0.6072927,0.9201551,0.1916284
0,5070,1.608017,1.806833,0.1996482
0,5085,1.915932,1.927346,0.2043568
0,5100,1.767988,1.709693,0.2065512
0,5115,1.505182,1.438194,0.2076244
0,5130,1.258503,1.200331,0.2082416
0,5145,1.056704,1.009549,0.2086626
0,5160,0.8973144,0.8594493,0.2089886
0,5175,0.7715019,0.7407401,0.2092618
0,5190,0.6709979,0.6455435,0.2095011
0,5205,0.5894451,0.5679798,0.2097164
0,5220,0.5222399,0.5038283,0.2099132
0,5235,0.4660922,0.4500722,0.2100949
0,5250,0.4186324,0.4045291,0.2102641
0,5265,0.3781257,0.3655912,0.2104225
0,5280,0.3432739,0.3320471,0.2105715
0,5295,0.3130844,0.3029646,0.2107123
0,5310,0.2867812,0.2776105,0.2108458
0,5325,0.2637472,0.2553992,0.2109728
0,5340,0.2434867,0.2358579,0.2110939
0,5355,0.2255935,0.2185983,0.2112098
0,5370,0.2097319,0.2032986,0.211321
0,5385,0.1956224,0.1896901,0.2114279
0,5400,0.1830308,0.1775474,0.211531
0,5415,0.1717588,0.1666795,0.2116307
0,5430,0.1616382,0.156924,0.2117271
0,5445,0.1525256,0.1481423,0.2118207
0,5460,0.1442979,0.1402157,0.2119117
0,5475,0.1368494,0.1330417,0.2120003
0,5490,0.1300885,0.1265318,0.2120868
0,5505,0.1239363,0.1206095,0.2121712
0,5520,0.1183235,0.1152079,0.2122538
0,5535,0.11319,0.1102685,0.2123347
0,5550,0.1084833,0.1057406,0.212414
0,5565,0.1041571,0.1015793,0.2124919
0,5580,0.1001709,0.09774546,0.2125684
0,5595,0.09648892,0.09420437,0.2126437
0,5610,0.09307962,0.09092543,0.2127177
0,5625,0.08991493,0.08788151,0.2127906
0,5640,0.08697005,0.08504859,0.2128624
0,5655,0.08422296,0.08240537,0.2129331
0,5670,0.08165404,0.07993292,0.2130029
0,5685,0.07924586,0.07761437,0.2130716
0,5700,0.07698284,0.07543468,0.2131394
0,5715,0.07485111,0.07338049,0.2132063
0,5730,0.07283827,0.07143982,0.2132723
0,5745,0.07093324,0.06960203,0.2133373
0,5760,0.06912612,0.06785759,0.2134015
0,5775,0.6073675,0.9202294,0.19446
0,5790,1.608112,1.806934,0.201589
0,5805,1.916032,1.927428,0.2057744
0,5820,1.768073,1.709768,0.207725
0,5835,1.505261,1.438264,0.2086791
0,5850,1.25858,1.2004,0.2092277
0,5865,1.056779,1.009616,0.209602
0,5880,0.8973862,0.8595134,0.2098919
0,5895,0.7715734,0.7408037,0.2101347
0,5910,0.6710681,0.6456057,0.2103475
0,5925,0.5895137,0.5680405,0.210539
0,5940,0.5223076,0.5038881,0.2107139
0,5955,0.4661587,0.4501309,0.2108755
0,5970,0.418698,0.4045869,0.211026
0,5985,0.3781906,0.3656483,0.2111668
0,6000,0.3433387,0.3321041,0.2112993
0,6015,0.3131486,0.303021,0.2114245
0,6030,0.2868435,0.2776651,0.2115432
0,6045,0.2638088,0.2554531,0.2116561
0,6060,0.2435478,0.2359112,0.2117638
0,6075,0.2256537,0.2186509,0.2118669
0,6090,0.2097914,0.2033504,0.2119658
0,6105,0.1956814,0.1897414,0.2120609
0,6120,0.1830891,0.177598,0.2121526
0,6135,0.1718164,0.1667294,0.2122412
0,6150,0.1616952,0.1569733,0.2123269
0,6165,0.1525819,0.148191,0.2124102
0,6180,0.1443536,0.1402638,0.2124911
0,6195,0.1369045,0.1330892,0.2125699
0,6210,0.1301432,0.1265788,0.2126468
0,6225,0.1239902,0.1206558,0.2127219
0,6240,0.1183767,0.1152534,0.2127953
0,6255,0.1132425,0.1103134,0.2128673
0,6270,0.1085351,0.1057848,0.2129378
0,6285,0.1042083,0.101623,0.2130071
0,6300,0.1002216,0.09778865,0.2130751
0,6315,0.09653905,0.09424701,0.2131421
0,6330,0.09312917,0.09096749,0.2132079
0,6345,0.08996392,0.08792302,0.2132727
0,6360,0.0870185,0.08508958,0.2133365
0,6375,0.08427088,0.08244585,0.2133994
0,6390,0.08170144,0.07997289,0.2134615
0,6405,0.07929273,0.07765382,0.2135226
0,6420,0.07702919,0.07547363,0.2135829
0,6435,0.07489695,0.07341893,0.2136424
0,6450,0.0728836,0.07147778,0.213701
0,6465,0.07097807,0.0696395,0.2137589
0,6480,0.06917046,0.06789459,0.213816
0,6495,0.6074299,0.9202924,0.1967273
0,6510,1.608205,1.807013,0.2031436
0,6525,1.916097,1.927498,0.2069105
0,6540,1.768157,1.709846,0.2086662
0,6555,1.505341,1.438334,0.2095248
0,6570,1.258652,1.200462,0.2100186
0,6585,1.056841,1.00967,0.2103555
0,6600,0.8974466,0.8595653,0.2106164
0,6615,0.7716296,0.7408516,0.210835
0,6630,0.6711206,0.6456504,0.2110266
0,6645,0.589564,0.5680831,0.2111989
0,6660,0.5223559,0.5039289,0.2113563
0,6675,0.4662051,0.4501698,0.2115018
0,6690,0.4187436,0.4046249,0.2116372
0,6705,0.3782351,0.3656854,0.211764
0,6720,0.3433811,0.3321392,0.2118833
0,6735,0.3131893,0.3030545,0.211996
0,6750,0.2868852,0.2776994,0.2121028
0,6765,0.2638507,0.2554876,0.2122044
0,6780,0.2435884,0.2359446,0.2123014
0,6795,0.2256932,0.2186831,0.2123942
0,6810,0.2098302,0.203382,0.2124832
0,6825,0.1957195,0.1897723,0.2125688
0,6840,0.1831263,0.1776282,0.2126513
0,6855,0.171853,0.1667589,0.212731
0,6870,0.1617312,0.1570023,0.2128083
0,6885,0.1526175,0.1482195,0.2128832
0,6900,0.1443886,0.1402918,0.212956
0,6915,0.1369389,0.1331167,0.213027
0,6930,0.130177,0.1266057,0.2130962
0,6945,0.1240235,0.1206823,0.2131638
0,6960,0.1184096,0.1152795,0.2132299
0,6975,0.1132751,0.1103391,0.2132947
0,6990,0.1085673,0.1058102,0.2133582
0,7005,0.1042402,0.1016481,0.2134205
0,7020,0.1002531,0.09781338,0.2134818
0,7035,0.09657027,0.09427142,0.213542
0,7050,0.09316008,0.09099162,0.2136013
0,7065,0.08999453,0.08794686,0.2136596
0,7080,0.08704881,0.08511314,0.2137171
0,7095,0.0843009,0.08246914,0.2137737
0,7110,0.08173117,0.0799959,0.2138295
0,7125,0.07932219,0.07767657,0.2138846
0,7140,0.07705837,0.07549613,0.2139388
0,7155,0.07492587,0.07344119,0.2139924
0,7170,0.07291226,0.07149979,0.2140452
0,7185,0.07100648,0.06966127,0.2140973
0,7200,0.06919862,0.06791612,0.2141487
0,7215,0.6074918,0.9203663,0.1985835
0,7230,1.608322,1.807136,0.2044168
0,7245,1.916247,1.92763,0.2078415
0,7260,1.768277,1.70995,0.2094376
0,7275,1.505438,1.438421,0.2102182
0,7290,1.258735,1.200536,0.2106671
0,7305,1.056914,1.009734,0.2109734
0,7320,0.8975115,0.8596217,0.2112106
0,7335,0.7716879,0.7409019,0.2114093
0,7350,0.6711736,0.6456958,0.2115835
0,7365,0.5896131,0.5681248,0.2117401
0,7380,0.5224015,0.503967,0.2118833
0,7395,0.4662479,0.4502054,0.2120155
0,7410,0.4187839,0.4046582,0.2121386
0,7425,0.3782735,0.3657168,0.2122539
0,7440,0.3434177,0.332169,0.2123623
0,7455,0.313224,0.3030824,0.2124648
0,7470,0.2869169,0.2777247,0.2125619
0,7485,0.2638806,0.255511,0.2126543
0,7500,0.2436178,0.2359676,0.2127425
0,7515,0.2257224,0.2187059,0.2128268
0,7530,0.209859,0.2034044,0.2129077
0,7545,0.1957482,0.1897945,0.2129856
0,7560,0.1831549,0.1776502,0.2130606
0,7575,0.171881,0.1667805,0.2131331
0,7590,0.1617587,0.1570233,0.2132033
0,7605,0.1526444,0.1482401,0.2132714
0,7620,0.1444152,0.1403119,0.2133376
0,7635,0.1369651,0.1331364,0.2134021
0,7650,0.1302027,0.1266251,0.213465
0,7665,0.1240489,0.1207013,0.2135265
0,7680,0.1184346,0.1152981,0.2135866
0,7695,0.1132997,0.1103575,0.2136455
0,7710,0.1085916,0.1058283,0.2137032
0,7725,0.1042642,0.1016659,0.2137599
0,7740,0.1002768,0.0978309,0.2138156
0,7755,0.09659375,0.0942887,0.2138704
0,7770,0.0931833,0.09100866,0.2139243
0,7785,0.09001751,0.08796369,0.2139773
0,7800,0.08707158,0.08512975,0.2140295
0,7815,0.08432344,0.08248556,0.214081
0,7830,0.08175351,0.08001213,0.2141318
0,7845,0.07934432,0.07769262,0.2141818
0,7860,0.07708032,0.075512,0.2142311
0,7875,0.07494763,0.07345688,0.2142798
0,7890,0.07293385,0.07151532,0.2143278
0,7905,0.07102789,0.06967665,0.2143752
0,7920,0.06921986,0.06793135,0.2144219
0,7935,0.6075211,0.9203961,0.2001311
0,7950,1.608369,1.807193,0.2054784
0,7965,1.916311,1.927686,0.2086178
0,7980,1.768327,1.709995,0.2100809
0,7995,1.505484,1.438459,0.2107965
0,8010,1.258775,1.200569,0.211208
0,8025,1.056953,1.009766,0.2114888
0,8040,0.8975433,0.8596476,0.2117062
0,8055,0.7717183,0.7409263,0.2118884
0,8070,0.6712032,0.6457191,0.212048
0,8085,0.5896411,0.5681465,0.2121916
0,8100,0.5224282,0.5039877,0.2123228
0,8115,0.4662738,0.4502252,0.2124441
0,8130,0.4188085,0.4046768,0.2125569
0,8145,0.3782969,0.3657342,0.2126626
0,8160,0.3434406,0.3321859,0.212762
0,8175,0.313247,0.3030994,0.2128559
0,8190,0.2869371,0.277739,0.2129449
0,8205,0.2639015,0.255526,0.2130296
0,8220,0.2436397,0.2359835,0.2131104
0,8235,0.2257446,0.2187221,0.2131878
0,8250,0.2098812,0.2034206,0.2132619
0,8265,0.1957698,0.1898103,0.2133333
0,8280,0.1831755,0.177665,0.2134021
0,8295,0.1719009,0.1667946,0.2134685
0,8310,0.161778,0.1570369,0.2135329
0,8325,0.1526633,0.1482533,0.2135953
0,8340,0.1444336,0.1403246,0.213656
